
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
=================================================
     1 |       50 |  6.607784E+07 |  5.501728E+07
     2 |      100 |  5.894688E+07 |  5.501728E+07
     3 |      150 |  5.586791E+07 |  5.501728E+07
     4 |      200 |  5.552997E+07 |  5.484338E+07
     5 |      250 |  5.531172E+07 |  5.475856E+07
     6 |      300 |  5.517055E+07 |  5.465744E+07
     7 |      350 |  5.500465E+07 |  5.456784E+07
     8 |      400 |  5.488639E+07 |  5.456784E+07
     9 |      450 |  5.479115E+07 |  5.455478E+07
    10 |      500 |  5.471651E+07 |  5.455478E+07
    11 |      550 |  5.468258E+07 |  5.455478E+07
    12 |      600 |  5.463097E+07 |  5.448055E+07
    13 |      650 |  5.458902E+07 |  5.447231E+07
    14 |      700 |  5.456463E+07 |  5.447231E+07
    15 |      750 |  5.455272E+07 |  5.447231E+07
    16 |      800 |  5.454068E+07 |  5.445946E+07
    17 |      850 |  5.453076E+07 |  5.445946E+07
    18 |      900 |  5.452022E+07 |  5.445946E+07
    19 |      950 |  5.451358E+07 |  5.445946E+07
    20 |     1000 |  5.450833E+07 |  5.445907E+07
    21 |     1050 |  5.449969E+07 |  5.444589E+07
    22 |     1100 |  5.448994E+07 |  5.444589E+07
    23 |     1150 |  5.448316E+07 |  5.444589E+07
    24 |     1200 |  5.447974E+07 |  5.444589E+07
    25 |     1250 |  5.447692E+07 |  5.444589E+07
    26 |     1300 |  5.447228E+07 |  5.444589E+07
    27 |     1350 |  5.446950E+07 |  5.444537E+07
    28 |     1400 |  5.446617E+07 |  5.444537E+07
    29 |     1450 |  5.446420E+07 |  5.444537E+07
    30 |     1500 |  5.446012E+07 |  5.444537E+07
    31 |     1550 |  5.445602E+07 |  5.444537E+07
    32 |     1600 |  5.445333E+07 |  5.444500E+07
    33 |     1650 |  5.445103E+07 |  5.444500E+07
    34 |     1700 |  5.444914E+07 |  5.443497E+07
    35 |     1750 |  5.444722E+07 |  5.443497E+07
    36 |     1800 |  5.444640E+07 |  5.443497E+07
    37 |     1850 |  5.444571E+07 |  5.443304E+07
    38 |     1900 |  5.444466E+07 |  5.443304E+07
    39 |     1950 |  5.444372E+07 |  5.443304E+07
    40 |     2000 |  5.444255E+07 |  5.443260E+07
    41 |     2050 |  5.444132E+07 |  5.443260E+07
    42 |     2100 |  5.443990E+07 |  5.443260E+07
    43 |     2150 |  5.443890E+07 |  5.443260E+07
