Datum;von;Zeitzone von;bis;Zeitzone bis;Spotmarktpreis in ct/kWh
01.09.2023;00:00;CEST;01:00;CEST;9,89
01.09.2023;01:00;CEST;02:00;CEST;9,597
01.09.2023;02:00;CEST;03:00;CEST;9,329
01.09.2023;03:00;CEST;04:00;CEST;9,307
01.09.2023;04:00;CEST;05:00;CEST;9,408
01.09.2023;05:00;CEST;06:00;CEST;9,72
01.09.2023;06:00;CEST;07:00;CEST;11,204
01.09.2023;07:00;CEST;08:00;CEST;12,843
01.09.2023;08:00;CEST;09:00;CEST;12,943
01.09.2023;09:00;CEST;10:00;CEST;11,13
01.09.2023;10:00;CEST;11:00;CEST;10,222
01.09.2023;11:00;CEST;12:00;CEST;9,652
01.09.2023;12:00;CEST;13:00;CEST;9,202
01.09.2023;13:00;CEST;14:00;CEST;8,89
01.09.2023;14:00;CEST;15:00;CEST;8,923
01.09.2023;15:00;CEST;16:00;CEST;9,202
01.09.2023;16:00;CEST;17:00;CEST;9,657
01.09.2023;17:00;CEST;18:00;CEST;10,761
01.09.2023;18:00;CEST;19:00;CEST;12,715
01.09.2023;19:00;CEST;20:00;CEST;15,152
01.09.2023;20:00;CEST;21:00;CEST;14,734
01.09.2023;21:00;CEST;22:00;CEST;12,77
01.09.2023;22:00;CEST;23:00;CEST;11,856
01.09.2023;23:00;CEST;00:00;CEST;11,465
02.09.2023;00:00;CEST;01:00;CEST;10,746
02.09.2023;01:00;CEST;02:00;CEST;10,27
02.09.2023;02:00;CEST;03:00;CEST;10
02.09.2023;03:00;CEST;04:00;CEST;9,59
02.09.2023;04:00;CEST;05:00;CEST;9,64
02.09.2023;05:00;CEST;06:00;CEST;10,02
02.09.2023;06:00;CEST;07:00;CEST;10,102
02.09.2023;07:00;CEST;08:00;CEST;10,109
02.09.2023;08:00;CEST;09:00;CEST;10,022
02.09.2023;09:00;CEST;10:00;CEST;9,458
02.09.2023;10:00;CEST;11:00;CEST;8,977
02.09.2023;11:00;CEST;12:00;CEST;7,99
02.09.2023;12:00;CEST;13:00;CEST;7,6
02.09.2023;13:00;CEST;14:00;CEST;6,299
02.09.2023;14:00;CEST;15:00;CEST;5,535
02.09.2023;15:00;CEST;16:00;CEST;6,94
02.09.2023;16:00;CEST;17:00;CEST;8,001
02.09.2023;17:00;CEST;18:00;CEST;9,345
02.09.2023;18:00;CEST;19:00;CEST;11
02.09.2023;19:00;CEST;20:00;CEST;12,179
02.09.2023;20:00;CEST;21:00;CEST;12,68
02.09.2023;21:00;CEST;22:00;CEST;11,519
02.09.2023;22:00;CEST;23:00;CEST;10,564
02.09.2023;23:00;CEST;00:00;CEST;9,734
03.09.2023;00:00;CEST;01:00;CEST;10,528
03.09.2023;01:00;CEST;02:00;CEST;10,103
03.09.2023;02:00;CEST;03:00;CEST;10,194
03.09.2023;03:00;CEST;04:00;CEST;10,164
03.09.2023;04:00;CEST;05:00;CEST;10,037
03.09.2023;05:00;CEST;06:00;CEST;9,903
03.09.2023;06:00;CEST;07:00;CEST;9,818
03.09.2023;07:00;CEST;08:00;CEST;9,443
03.09.2023;08:00;CEST;09:00;CEST;8,954
03.09.2023;09:00;CEST;10:00;CEST;8,28
03.09.2023;10:00;CEST;11:00;CEST;6,03
03.09.2023;11:00;CEST;12:00;CEST;4,343
03.09.2023;12:00;CEST;13:00;CEST;2,137
03.09.2023;13:00;CEST;14:00;CEST;1,133
03.09.2023;14:00;CEST;15:00;CEST;0,494
03.09.2023;15:00;CEST;16:00;CEST;1,571
03.09.2023;16:00;CEST;17:00;CEST;5,366
03.09.2023;17:00;CEST;18:00;CEST;9,443
